t=2026-08-23T10:22:00+0530 lvl=info msg="no configuration paths supplied"
t=2026-08-23T10:22:00+0530 lvl=info msg="using configuration at default config path" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml"
t=2026-08-23T10:22:00+0530 lvl=info msg="open config file" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-08-23T10:22:00+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-23T10:22:00+0530 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-08-23T10:22:00+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-08-23T10:22:01+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=c3467e2fd804 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=b197dd88e8f2 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=dcd564730aa0 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=0b94bcc2e773 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=d1f3d6b64b1f l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=f46ee9580b78 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=c1664382d67e l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=25b0142dc2d5 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=2da1bbfbfaae l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=6086db53a321 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
